JLCPCB BOM Tool - BOM Matching,,,,,,,
BOM name：bom-JLCPCB Assembly Order.xlsx,,,,,,,
PCB Assembled Qty：2,,,,,,,
Your BOM,,Order Information,,,,,
Top Designator,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
BZ1,,C113159,https://jlcpcb.com/partdetail/MurataElectronics-PKLCS1212E4001R1/C113159,Extended,2,2 JLCPCB,1.7246
C1,,C19666,https://jlcpcb.com/partdetail/20375-CL10A475KO8NNNC/C19666,Basic,20,20 JLCPCB,0.22
C2,,C19702,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,Basic,20,20 JLCPCB,0.204
"C3,C4",,C1653,https://jlcpcb.com/partdetail/2005-CL10C220JB8NNNC/C1653,Basic,20,20 JLCPCB,0.08
C5,,C76935,https://jlcpcb.com/partdetail/MurataElectronics-GRM033R61A105ME44D/C76935,Extended,20,20 JLCPCB,0.07
"C10,C6,C7,C8,C9",1.The comment (0201X104K100NT) of this part does not match the one (0.1uF) provided in your BOM. Please confirm;,C284966,https://jlcpcb.com/partdetail/270391-0201X104K100NT/C284966,Extended,22,22 JLCPCB,0.0176
"D1,D2",,C191023,https://jlcpcb.com/partdetail/GuangdongHottech-1N5819WS/C191023,Basic,20,20 JLCPCB,0.222
J1,,C2894897,https://jlcpcb.com/partdetail/HCTL-HC_TYPE_C_16P01A/C2894897,Extended,2,2 JLCPCB,0.197
L1,,C66536,https://jlcpcb.com/partdetail/Sunlord-SWPA252010S4R7MT/C66536,Extended,6,6 JLCPCB,0.3444
R1,1.The comment (FRC0603F3093TS) of this part does not match the one (309K) provided in your BOM. Please confirm;,C2999532,https://jlcpcb.com/partdetail/FOJAN-FRC0603F3093TS/C2999532,Extended,20,20 JLCPCB,0.024
"R2,R3",1.The comment (0402WGF5101TCE) of this part does not match the one (5.1K) provided in your BOM. Please confirm;,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,Basic,20,20 JLCPCB,0.018
R4,1.The comment (FRC0603F9763TS) of this part does not match the one (976K) provided in your BOM. Please confirm;,C2933270,https://jlcpcb.com/partdetail/FOJAN-FRC0603F9763TS/C2933270,Extended,20,20 JLCPCB,0.026
"R5,R8",1.The comment (0402WGF1002TCE) of this part does not match the one (10k) provided in your BOM. Please confirm;,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,20,20 JLCPCB,0.026
"R6,R7",1.The comment (0402WGF2202TCE) of this part does not match the one (22k) provided in your BOM. Please confirm;,C25768,https://jlcpcb.com/partdetail/26511-0402WGF2202TCE/C25768,Basic,20,20 JLCPCB,0.018
U1,1.The comment (ATMEGA32U4-AU) of this part does not match the one (ATmega32U4-A) provided in your BOM. Please confirm;,C44854,https://jlcpcb.com/partdetail/MicrochipTech-ATMEGA32U4AU/C44854,Extended,2,2 JLCPCB,15.717
U2,,C511326,https://jlcpcb.com/partdetail/MicrochipTech-MCP1640CT_ICHY/C511326,Extended,2,2 JLCPCB,1.9044
Y1,,C280836,https://jlcpcb.com/partdetail/NDK-NX2520SA_16MHZ_STD_CSW5/C280836,Extended,5,5 JLCPCB,2.12
J2,,-,https://www.aliexpress.com/item/1005003484018034.html?spm=a2g0o.productlist.main.8.6eadZL8QZL8QRf&aem_p4p_detail=202605240059332784605657465880000455409&algo_pvid=67a2c11e-20a0-4e10-ab84-f345c55f617e&algo_exp_id=67a2c11e-20a0-4e10-ab84-f345c55f617e-7&pdp_ext_f=%7B%22order%22%3A%225744%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21SGD%212.58%212.34%21%21%211.96%211.78%21%402141122217796095733155115ecd7d%2112000025994191963%21sea%21SG%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9751af35%3Bm03_new_user%3A-29895&curPageLogUid=WIlsbLS49aA5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003484018034%7C_p_origin_prod%3A&search_p4p_id=202605240059332784605657465880000455409_2,,1,Aliexpress,2.01
"SW1,SW2,SW3,SW4,SW5,SW6,SW7",,-,https://www.aliexpress.com/item/10000000781310.html?spm=a2g0o.productlist.main.7.7b2a2f428bb11I&algo_pvid=91d2d522-774f-4786-ba48-449124ace451&algo_exp_id=91d2d522-774f-4786-ba48-449124ace451-6&pdp_ext_f=%7B%22order%22%3A%221204%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21SGD%210.82%210.61%21%21%210.62%210.46%21%40212e520d17796108090695952e08dd%2120000000003316349%21sea%21SG%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9751af35%3Bm03_new_user%3A-29895&curPageLogUid=7lWSm8DBpMAm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A10000000781310%7C_p_origin_prod%3A,,7,Aliexpress,0.64
LiPO battery,,,https://www.aliexpress.com/item/1005009329027447.html?spm=a2g0o.productlist.main.2.6776AEoPAEoPh4&algo_pvid=65279e61-d8a8-47db-96ab-6d6bf466ee59&algo_exp_id=65279e61-d8a8-47db-96ab-6d6bf466ee59-1&pdp_ext_f=%7B%22order%22%3A%2246%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21SGD%2110.31%216.04%21%21%217.84%214.60%21%402141115b17797712433417366e940a%2112000048772538132%21sea%21SG%214283275066%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b7a15f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000204863185&curPageLogUid=4NuF1B0cE9OK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009329027447%7C_p_origin_prod%3A,,1,Aliexpress,6.71
M2 Nuts,,,https://www.aliexpress.com/item/1005009393815442.html?spm=a2g0o.productlist.main.2.36b778bcFtXEfo&algo_pvid=3b5e5b8a-2139-4a63-892a-db4efdadc85f&algo_exp_id=3b5e5b8a-2139-4a63-892a-db4efdadc85f-1&pdp_ext_f=%7B%22order%22%3A%2211747%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21SGD%211.65%211.30%21%21%218.49%216.69%21%402101062a17797042846512038e5c9d%2112000048962946395%21sea%21SG%214283275066%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b7a15f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000204863185&curPageLogUid=wT3CJPnsK6kE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009393815442%7C_p_origin_prod%3A,,1,Aliexpress,1.02
M2 bolts,,,https://www.aliexpress.com/item/4000602853448.html?spm=a2g0o.productlist.main.1.63d13aaaKBRwWK&algo_pvid=6b2a51af-b465-4c16-8719-8aa31ab3d3a0&algo_exp_id=6b2a51af-b465-4c16-8719-8aa31ab3d3a0-0&pdp_ext_f=%7B%22order%22%3A%2211151%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21SGD%210.84%210.84%21%21%210.64%210.64%21%40212a70c117797041425417582e3cb0%2110000003767007634%21sea%21SG%214283275066%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b7a15f9%3Bm03_new_user%3A-29895&curPageLogUid=jOai6j2ESDHE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000602853448%7C_p_origin_prod%3A#nav-specification,,1,Aliexpress,0.66
TP4056 board,,,https://www.aliexpress.com/item/1005006043031985.html?spm=a2g0o.productlist.main.2.4b6058c9KAM1eU&algo_pvid=03e2652b-04f8-4e6d-8e38-b4b3851762a8&algo_exp_id=03e2652b-04f8-4e6d-8e38-b4b3851762a8-1&pdp_ext_f=%7B%22order%22%3A%2243188%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21SGD%211.89%210.88%21%21%219.74%214.54%21%4021010d9017797771300943180ee272%2112000035475416223%21sea%21SG%214283275066%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b7a15f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000207318982&curPageLogUid=MHkBaMfIgoNx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006043031985%7C_p_origin_prod%3A,,1,Aliexpress,0.79
,,,,,,Total Price,118
,,,*PCBA is used,,,,
