Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_2468_2xAAA,1,3x AAA,
BZ1,Buzzer_Murata_PKLCS1212E,1,Buzzer,
C1,0603,1,4.7uF,
"C10, C6, C7, C8, C9",0201,5,0.1uF,
C2,0603,1,10uF,
"C3, C4",0603,2,22pF,
C5,0201,1,1uF,
"D1, D2",D_SOD-323,2,1N5819WS,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
L1,1008_2520Metric,1,4.7uH,
R1,0603,1,309K,
"R2, R3",0402,2,5.1K,
R4,0603,1,976K,
"R5, R8",0402,2,10k,
"R6, R7",0402,2,22k,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7",SW_PUSH_6mm,7,SW_Push,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
U2,SOT-23-6,1,MCP1640Cx-xCHY,
Y1,Crystal_SMD_2.0x1.6mm,1,16MHz,
