Designator,Mid X,Mid Y,Rotation,Layer
BT1,180.8775,-92.34,180.0,bottom
BZ1,210.84,-53.77,0.0,top
C1,155.45,-96.815,90.0,top
C10,193.26,-95.18,0.0,top
C2,171.12,-89.03,270.0,top
C3,198.155,-93.06,0.0,top
C4,198.215,-98.46,0.0,top
C5,185.81,-100.25,90.0,top
C6,178.16,-88.75,180.0,top
C7,178.12,-96.71,180.0,top
C8,189.0,-84.93,90.0,top
C9,182.54,-100.35,270.0,top
D1,187.28,-128.54,270.0,top
D2,173.7775,-88.63,180.0,top
J1,184.89,-146.175,0.0,top
J2,185.64,-61.032,0.0,top
L1,166.915,-84.99,180.0,top
R1,166.975,-91.59,180.0,top
R2,182.32,-138.7,0.0,top
R3,187.3,-138.55,0.0,top
R4,166.32,-93.29,0.0,top
R5,154.52,-50.06,270.0,top
R6,184.4,-102.44,90.0,top
R7,183.31,-102.46,90.0,top
R8,180.18,-84.1,180.0,top
SW1,201.13,-114.94,0.0,top
SW2,168.03,-111.78,0.0,top
SW3,177.53,-119.26,0.0,top
SW4,168.01,-126.76,0.0,top
SW5,158.51,-119.28,0.0,top
SW6,210.65,-122.45,180.0,top
SW7,160.72,-51.86,0.0,top
U1,185.7475,-92.7,0.0,top
U2,167.04,-88.97,180.0,top
Y1,198.16,-95.66,0.0,top
